ObjectID,GlobalID,Plot,Specify other.,% Living Plant Cover,% thatch cover,% Bare Ground,% Living natives,% Living non-natives,Thatch depth (inches),Date of last rain,Inches of last rain,Herbivory on natives,Herbivory on non natives,Number of animal burrows,Entered Species,Total percent cover,lat,lon,Coordinates,Elevation,Date and Time,notes,Your initials,CreationDate,Creator,EditDate,Editor,Soil Moisture,Control,Control,x,y
47,d4a6c3ad-a345-497c-adcf-6c15ffa7c3d8,1B,,83,15,2,0,100,3,,,no,no,3,"Brassica_nigra: %, Festuca_perennis: %, Bromus_diandrus: %, : %, ",100%,34.4631167,-119.7634821,"34.4631167, -119.7634821",,3/22/2022 8:25:00 PM,,Brad Meiners,3/22/2022 8:34:35 PM,CIR_FieldTech1,3/22/2022 8:34:35 PM,CIR_FieldTech1,,,,-119.7634821,34.4631167
48,b2ab550c-224f-4350-8a26-5aa60d6456e0,1C,,85,10,5,3,97,2,,,no,no,4,"Scrophularia_californica: %, other: %, Bromus_madritensis: %, Avena_barbata_or_fatua: 5%, Bromus_diandrus: 5%, Bromus_hordeaceus: 20%, Silybum_marianum: %, other: 20%, Sonchus_asper: %, Brassica_nigra: %, Festuca_perennis: %, : %, ",100%,34.4628931,-119.763127,"34.4628931, -119.763127",,3/22/2022 8:47:00 PM,,Brad Meiners,3/22/2022 9:28:51 PM,CIR_FieldTech1,3/22/2022 9:28:51 PM,CIR_FieldTech1,,,,-119.763127,34.4628931
49,e972e4f8-dddc-4396-9574-f454f97c739e,WM-1,,100,100,0,0,100,2.5,1/16/2023 8:00:00 PM,,no,yes,2,"Avena_barbata_or_fatua: %, Brassica_nigra: %, Lysimachia_arvensis: %, Erodium_botrys: %, : %, : %, ",103%,34.45802001166667,-119.76729201166667,"34.45802001166667, -119.76729201166667",,1/18/2023 4:16:00 PM,grass species uncertain,"EM, MS",1/18/2023 4:47:02 PM,CIRArcGIS,1/18/2023 4:47:02 PM,CIRArcGIS,,,,-119.767292011667,34.4580200116667
50,e6083470-5a2c-4a58-b766-750eeb6dbb38,WM-2,,95,40,1,0,95,1.5,1/16/2023 8:00:00 PM,,no,no,15,"Bromus_diandrus: %, Bromus_madritensis: %, Erodium_botrys: %, Calystegia_macrostegia: %, Brassica_nigra: %, Stipa_pulchra: %, : %, ",116%,34.45906239166667,-119.76739848833334,"34.45906239166667, -119.76739848833334",4,1/18/2023 4:55:00 PM,thatch uneven around the plot,"EM, MS",1/18/2023 5:32:50 PM,CIRArcGIS,1/18/2023 5:32:50 PM,CIRArcGIS,,,,-119.767398488333,34.4590623916667
51,1136da4f-0143-4457-862e-fb27f25539bc,WM-3,,99,5,1,5,94,0.5,1/16/2023 8:00:00 PM,,no,no,20,"Artemisia_californica: %, Erodium_botrys: %, Croton_setigerus: %, Lysimachia_arvensis: %, other: %, other: %, Sonchus_asper: %, Hirschfeldia_incana: %, Erodium_cicutarium: %, other: %, Bromus_hordeaceus: %, Stipa_pulchra: %, Vicia_sativa: %, Bromus_madritensis: %, other: %, Medicago_polymorpha: %, Sonchus_oleraceus: %, other: %, other: %, : %, ",83%,34.459308385,-119.76871615999998,"34.459308385, -119.76871615999998",,1/18/2023 5:42:00 PM,"add 10% botrys and 5 bromus, 3 artemisia","EM, MS",1/18/2023 6:29:51 PM,CIRArcGIS,1/18/2023 6:29:51 PM,CIRArcGIS,,,,-119.76871616,34.459308385
52,f7635a6a-a50d-4f48-aa8b-09c88f456224,WM-4,,95,1,3,10,85,0.5,1/16/2023 8:00:00 PM,,no,no,20,"Stipa_pulchra: %, Chlorogalum_pomeridianum: %, Erodium_botrys: %, Dichelostemma_capitatum: %, Avena_barbata_or_fatua: %, Bromus_hordeaceus: %, Acmispon_wrangelianus: %, Erodium_cicutarium: %, Hypochaeris_glabra: %, Stipa_pulchra: %, Artemisia_californica: %, Bromus_hordeaceus: %, Erodium_botrys: %, : %, ",100%,34.46008627666667,-119.76897019166665,"34.46008627666667, -119.76897019166665",,1/18/2023 6:34:00 PM,ground wet,"EM, MS",1/18/2023 6:51:43 PM,CIRArcGIS,6/20/2024 11:36:17 PM,CIRArcGIS,,,yes,-119.768970191667,34.4600862766667
53,fc815537-4486-4a19-b695-1ca904907e46,WM-5,,100,30,0,20,,1,1/16/2023 8:00:00 PM,,no,no,25,"Stipa_pulchra: %, Bromus_hordeaceus: %, Erodium_botrys: %, Erodium_cicutarium: %, Vicia_sativa: %, Medicago_polymorpha: %, Sonchus_oleraceus: %, Hirschfeldia_incana: %, Stipa_pulchra: %, : %, ",100%,34.460567835000006,-119.76939544000001,"34.460567835000006, -119.76939544000001",,1/18/2023 7:18:00 PM,moisrure 4,"EM, MS",1/18/2023 7:36:11 PM,CIRArcGIS,1/18/2023 7:36:11 PM,CIRArcGIS,,,,-119.76939544,34.460567835
54,3d3f85dc-67b4-4393-b098-a7644a76c451,WM-6,,100,5,0,,,3,1/16/2023 8:00:00 PM,,no,no,10,"Avena_barbata_or_fatua: %, Erodium_botrys: %, Brassica_nigra: %, Chlorogalum_pomeridianum: %, Bromus_hordeaceus: %, other: %, : %, ",100%,34.46117428666667,-119.76837087833336,"34.46117428666667, -119.76837087833336",,1/18/2023 8:07:00 PM,"soil moisture 4, replace half hordaceus with diandrus","EM, MS",1/18/2023 8:25:31 PM,CIRArcGIS,1/18/2023 8:25:31 PM,CIRArcGIS,,,,-119.768370878333,34.4611742866667
55,40b95222-3955-4c3b-96b8-c9b6e0744032,WM-7,,95,30,5,0,100,1,1/16/2023 8:00:00 PM,,yes,no,25,"Calystegia_macrostegia: %, Lysimachia_arvensis: %, Erodium_botrys: %, Bromus_diandrus: %, Bromus_hordeaceus: %, : %, ",100%,34.462302121666674,-119.76922614499999,"34.462302121666674, -119.76922614499999",,1/18/2023 8:31:00 PM,"herbivory of grass around burrows, soil moisture 4","EM, MS",1/18/2023 8:45:24 PM,CIRArcGIS,1/18/2023 8:45:24 PM,CIRArcGIS,,,,-119.769226145,34.4623021216667
56,b1a22fef-9f1c-461b-9ef7-0c4b59f6b384,WM-8,,90,100,0,,,3,1/16/2023 8:00:00 PM,,no,no,15,": %, Bromus_diandrus: %, Sonchus_oleraceus: %, Lysimachia_arvensis: %, Geranium_dissectum: %, other: %, Silybum_marianum: %, Vicia_sativa: %, Bromus_hordeaceus: %, Erodium_botrys: %, : %, ",100%,34.46336782833334,-119.76995817999997,"34.46336782833334, -119.76995817999997",,1/18/2023 8:56:00 PM,soil moisture 3,"EM, MS",1/18/2023 9:19:01 PM,CIRArcGIS,1/18/2023 9:19:01 PM,CIRArcGIS,,,,-119.76995818,34.4633678283333
57,ef8fdb51-6247-43ac-8982-b57712bf4136,WM-11,,,30,1,86,,0.5,1/16/2023 8:00:00 PM,,no,no,13,"other: %, other: %, other: %, Sisyrinchium_bellum: %, Erodium_botrys: %, Artemisia_californica: %, Baccharis_pilularis: %, Lysimachia_arvensis: %, Plantago_lanceolata: %, other: %, other: %, Vicia_sativa: %, other: %, Stipa_pulchra: 81%, : %, ",100%,34.46395652833333,-119.76967552500001,"34.46395652833333, -119.76967552500001",,1/18/2023 9:34:00 PM,"soil moisrure 6, ","EM, MS",1/19/2023 12:40:58 AM,CIRArcGIS,6/20/2024 11:36:40 PM,CIRArcGIS,,,yes,-119.769675525,34.4639565283333
58,15b6712b-0369-4957-9dce-2d6f29715de5,WM-10,,100,80,,5,95,1,1/16/2023 8:00:00 PM,,no,no,12,"Stipa_pulchra: %, Erodium_botrys: %, Bromus_diandrus: %, Avena_barbata_or_fatua: %, Brassica_rapa: %, other: %, Medicago_polymorpha: %, Erodium_botrys: %, : %, ",100%,34.46458575333334,-119.77007346333335,"34.46458575333334, -119.77007346333335",,1/18/2023 10:53:00 PM,soil moisture 4,"EM, MS",1/19/2023 12:41:07 AM,CIRArcGIS,6/20/2024 11:36:58 PM,CIRArcGIS,,,yes,-119.770073463333,34.4645857533333
59,61144053-e625-4b22-be1a-9839ae14c1e4,WM-9,,100,20,,35,,1,1/16/2023 8:00:00 PM,,no,no,12,"Stipa_pulchra: %, Dichelostemma_capitatum: %, Avena_barbata_or_fatua: %, Bromus_diandrus: %, Ambrosia_psilostachya: %, Silybum_marianum: %, Calandrinia_menziesii: %, Sonchus_asper: %, Medicago_polymorpha: %, Hypochaeris_glabra: %, Lysimachia_arvensis: %, other: %, Hirschfeldia_incana: %, : %, ",100%,34.46450573166666,-119.77095340499999,"34.46450573166666, -119.77095340499999",,1/18/2023 11:11:00 PM,soil moisture 3,"EM, MS",1/19/2023 12:41:13 AM,CIRArcGIS,6/20/2024 11:37:10 PM,CIRArcGIS,,,yes,-119.770953405,34.4645057316667
60,04e62478-4233-4992-8d8b-75dada5dbdfc,WM-16,,95,10,,18,,1,1/16/2023 8:00:00 PM,,no,no,15,"Stipa_pulchra: 5%, Artemisia_californica: %, Chlorogalum_pomeridianum: %, Erodium_botrys: %, Bromus_hordeaceus: %, Bromus_diandrus: %, Sonchus_oleraceus: %, Erodium_cicutarium: %, Hypochaeris_glabra: %, Quercus_agrifolia: %, Sisyrinchium_bellum: %, Dichelostemma_capitatum: %, : %, ",100%,34.45835630333334,-119.76612816666665,"34.45835630333334, -119.76612816666665",,1/20/2023 4:18:00 PM,,"EM, WM",1/20/2023 4:41:57 PM,CIRArcGIS,1/20/2023 4:41:57 PM,CIRArcGIS,,,,-119.766128166667,34.4583563033333
61,2530acb0-8cdc-42c7-afeb-07d425adb958,WM-13,,100,0,,0,,,1/16/2023 8:00:00 PM,,no,no,2,"Bromus_diandrus: %, Medicago_polymorpha: %, Brassica_nigra: %, : %, ",100%,34.46269028500001,-119.767231815,"34.46269028500001, -119.767231815",,1/20/2023 5:01:00 PM,foot high annual grass monoculture,"EM, WM",1/20/2023 5:12:18 PM,CIRArcGIS,1/20/2023 5:12:18 PM,CIRArcGIS,,,,-119.767231815,34.462690285
62,83915346-2915-4f0d-9407-a613f1a46b1f,WM-12,,95,5,,0,95,0.5,1/16/2023 8:00:00 PM,,no,no,20,"Bromus_diandrus: %, Sonchus_oleraceus: %, Medicago_polymorpha: %, Hirschfeldia_incana: %, Erodium_cicutarium: %, Sonchus_asper: %, Convolvulus_arvensis: %, Lysimachia_arvensis: %, : %, ",99%,34.464074905,-119.76719087000001,"34.464074905, -119.76719087000001",,1/20/2023 5:22:00 PM,,"EM, WM",1/20/2023 5:33:28 PM,CIRArcGIS,1/20/2023 5:33:28 PM,CIRArcGIS,,,,-119.76719087,34.464074905
63,1b1bad67-b9b5-40a9-b7f7-26aa557121ba,WM-14,,95,97,,0,95,5,1/16/2023 8:00:00 PM,,no,yes,5,"Bromus_diandrus: %, Bromus_madritensis: %, Bromus_hordeaceus: %, Brassica_nigra: %, : %, ",100%,34.46265466333333,-119.76542523833332,"34.46265466333333, -119.76542523833332",,1/20/2023 5:47:00 PM,"steep, next to drainage","EM, WM",1/20/2023 6:26:35 PM,CIRArcGIS,1/20/2023 6:26:35 PM,CIRArcGIS,,,,-119.765425238333,34.4626546633333
64,e9b6b5be-05f0-4806-a31b-3d01d147d8b2,other,,,,,,,,,,,,,,,,,,,,,,1/20/2023 6:29:27 PM,ken_cir,1/20/2023 6:29:54 PM,ken_cir,,,,-119.764435772333,34.4614153693986
71,69e4cc1b-af43-4985-9f0b-0770158e996c,other,,,,,,,,,,,,,,,,,,,,,,1/20/2023 6:34:29 PM,ken_cir,1/20/2023 6:34:33 PM,ken_cir,,,,-119.765536822473,34.4619825447743
73,5961552a-068c-42ef-b7ac-632b6fccc317,,,,,,,,,,,,,,,,,,,,,Added by geode DM 7/5/23,,1/20/2023 6:36:49 PM,ken_cir,7/5/2023 5:42:08 PM,,,,,-119.766762591993,34.4609984275574
74,26d1e483-7bd3-44a7-8cf1-fa36ee71d3de,other,,,,,,,,,,,,,,,,,,,,,,1/20/2023 6:36:50 PM,ken_cir,1/20/2023 6:36:58 PM,ken_cir,,,,-119.766762591993,34.4609984275574
75,974a46d2-7b7f-4a82-b859-97de7c760ace,WM-15,,100,100,,0,100,5,1/16/2023 8:00:00 PM,,no,no,0,"Bromus_diandrus: %, Medicago_polymorpha: %, : %, ",100%,34.461043925,-119.76488059333333,"34.461043925, -119.76488059333333",,1/20/2023 6:44:00 PM,very dense monoculture,"EM, WM",1/20/2023 6:51:30 PM,CIRArcGIS,1/20/2023 6:51:30 PM,CIRArcGIS,,,,-119.764880593333,34.461043925
76,e31efc6b-b9e4-4e77-9263-4d89b3221b38,WM-17,,100,70,,,,,1/16/2023 8:00:00 PM,,no,no,14,"Primula_clevelandii: %, Stipa_pulchra: %, Vicia_sativa: %, Erodium_botrys: %, Isocoma_menziesii: %, Sisyrinchium_bellum: %, Medicago_polymorpha: %, Dichelostemma_capitatum: %, Plantago_lanceolata: %, Bromus_diandrus: %, : %, ",100%,34.46189511,-119.76535658333331,"34.46189511, -119.76535658333331",,1/20/2023 6:56:00 PM,,"EM, WM",1/20/2023 7:49:00 PM,CIRArcGIS,1/20/2023 7:49:00 PM,CIRArcGIS,,,,-119.765356583333,34.46189511
77,4f58c4e0-85d6-4923-9cc1-8f1c0dc876e1,WM-18,,90,30,,21,,1,1/16/2023 8:00:00 PM,,no,yes,26,"Stipa_pulchra: %, Vicia_sativa: %, Artemisia_californica: %, Erodium_botrys: %, Brassica_nigra: %, Bromus_diandrus: %, other: %, Medicago_polymorpha: %, Chlorogalum_pomeridianum: %, : %, ",101%,34.46103166666667,-119.76696662666667,"34.46103166666667, -119.76696662666667",,1/20/2023 8:16:00 PM,,"EM, WM",1/20/2023 8:45:04 PM,CIRArcGIS,1/20/2023 8:45:04 PM,CIRArcGIS,,,,-119.766966626667,34.4610316666667
78,34cb3582-7df6-4386-ba0f-5ecaf1914ea9,7A,,75,20,5,0,100,1,,,no,yes,37,"Avena_barbata_or_fatua: %, Festuca_perennis: %, Hirschfeldia_incana: %, Lacticu_serriola: %, Sonchus_oleraceus: %, other: %, other: %, ",100%,34.45898709514298,-119.76408436977759,"34.45898709514298, -119.76408436977759",,8/3/2023 4:05:00 PM,,TT,8/3/2023 4:12:19 PM,CIR_FieldTech1,8/3/2023 4:12:19 PM,CIR_FieldTech1,,,,-119.764084369778,34.458987095143
79,c4e7e6f5-db26-4fae-8079-dca0beb756ea,7D,,50,30,20,1,99,1.25,,,,yes,89,"Avena_barbata_or_fatua: %, Bromus_hordeaceus: %, Croton_setigerus: %, Deinandra_fasciculata: %, Erodium_botrys: %, Festuca_perennis: %, Lacticu_serriola: %, Silene_gallica: %, Sonchus_oleraceus: %, other: %, ",100%,34.45924424648188,-119.76333627633122,"34.45924424648188, -119.76333627633122",,8/3/2023 4:40:00 PM,,TT,8/3/2023 4:47:37 PM,CIR_FieldTech1,8/3/2023 4:47:37 PM,CIR_FieldTech1,,,,-119.763336276331,34.4592442464819
80,b2f452c4-31f1-4971-bc0a-90c55a0172f8,7D,,75,5,20,59,41,0.5,,,yes,no,6,"Stipa_pulchra: 25%, Artemisia_californica: %, Avena_barbata_or_fatua: %, Deinandra_fasciculata: %, Bromus_madritensis: %, Bromus_diandrus: %, Bromus_hordeaceus: %, Pseudognaphalium_luteoalbum: %, Calystegia_macrostegia: %, Chlorogalum_pomeridianum: %, other: %, Festuca_perennis: %, Centaurea_melitensis: %, Erodium_botrys: %, Sonchus_oleraceus: %, Trifolium_hirtum: %, Hirschfeldia_incana: %, Vicia_sativa: %, Solanum_xanti: %, : %, Salsola_tragus: %, : %, ",100%,34.45901412520041,-119.7640236654503,"34.45901412520041, -119.7640236654503",,8/3/2023 3:59:00 PM,,Wm,8/3/2023 5:21:48 PM,CIR_FieldTech1,8/3/2023 5:21:48 PM,CIR_FieldTech1,,,,-119.76402366545,34.4590141252004
81,16f27ae8-9ae3-4578-8688-21238f9dbeac,1A,,75,10,15,48,52,0.5,,,no,yes,5,"Avena_barbata_or_fatua: %, Festuca_perennis: %, Deinandra_fasciculata: %, Brassica_nigra: %, Brachypodium_distachyon: %, Hirschfeldia_incana: %, Lacticu_serriola: %, Sonchus_asper: %, Stipa_pulchra: %, other: %, : %, ",100%,34.46260369,-119.76318791,"34.46260369, -119.76318791",,8/3/2023 5:16:00 PM,,"BGM,AM, LH",8/3/2023 5:57:20 PM,CIR_FieldTech4,8/3/2023 5:57:20 PM,CIR_FieldTech4,,,,-119.76318791,34.46260369
82,cab99d91-dc00-4198-a546-f63b1c9e180a,1B,,92,3,5,1,99,0.4,,,no,yes,5,"Avena_barbata_or_fatua: %, Deinandra_fasciculata: %, Festuca_perennis: %, Hirschfeldia_incana: %, Lacticu_serriola: %, Stipa_pulchra: %, other: %, : %, ",100%,,,", ",,8/3/2023 5:48:00 PM,Road cuts through plot,MS,8/3/2023 5:59:37 PM,CIR_FieldTech1,8/3/2023 5:59:37 PM,CIR_FieldTech1,,,,0,0
83,67b24479-2287-4af6-a5b9-0c3bd450282c,1C,,75,20,5,12,88,0.25,,,no,yes,0,"Avena_barbata_or_fatua: %, Bromus_hordeaceus: %, Brassica_nigra: %, other: %, Croton_setigerus: %, Festuca_perennis: %, Hirschfeldia_incana: %, Lacticu_serriola: %, Sonchus_oleraceus: %, other: %, other: %, Solanum_douglasii: %, Silybum_marianum: %, : %, ",100%,34.4629047669484,-119.76313129633387,"34.4629047669484, -119.76313129633387",,8/3/2023 6:25:00 PM,,,8/3/2023 6:33:47 PM,CIR_FieldTech1,8/3/2023 6:33:47 PM,CIR_FieldTech1,,,,-119.763131296334,34.4629047669484
84,07ea9eec-83d7-4a55-83a4-25735e47a517,3E,,98,1,1,17,83,0.1,,,yes,no,14,"Bromus_diandrus: %, Brassica_nigra: %, Chenopodium_murale: %, Croton_setigerus: 17%, Lysimachia_arvensis: %, ",100%,34.462501038829295,-119.75829555664188,"34.462501038829295, -119.75829555664188",,8/3/2023 8:20:00 PM,Odd trail through site. Lots of holes,TT,8/3/2023 8:25:20 PM,CIR_FieldTech1,8/3/2023 8:25:20 PM,CIR_FieldTech1,,,,-119.758295556642,34.4625010388293
85,1f6ba7c3-7ee6-47ba-bfca-41721675301a,2B,,20,40,40,35,65,1,,,,yes,150,"Amsinckia_intermedia: %, Avena_barbata_or_fatua: %, Bromus_diandrus: %, Chenopodium_: %, Croton_setigerus: %, Erodium_cicutarium: %, Lysimachia_arvensis: %, Medicago_polymorpha: %, Silene_gallica: %, Sonchus_asper: %, other: %, Bromus_diandrus: %, : %, ",100%,34.46193169,-119.75930934,"34.46193169, -119.75930934",,8/3/2023 8:46:00 PM,,"BGM,AM,",8/3/2023 9:02:36 PM,CIR_FieldTech4,8/3/2023 9:02:36 PM,CIR_FieldTech4,,,,-119.75930934,34.46193169
86,63b248d6-2eb7-4fb4-b1f8-27be92d8a0cd,3B,,92,4,4,79,21,0.25,,,no,no,1,"Chlorogalum_pomeridianum: 1%, Deinandra_fasciculata: %, Erigeron_canadensis: %, Festuca_perennis: %, Hypochaeris_glabra: %, other: %, Stipa_pulchra: %, other: 10%, Trifolium_hirtum: %, other: 1%, ",100%,34.46229543074458,-119.75849881779381,"34.46229543074458, -119.75849881779381",,8/3/2023 9:36:00 PM,,TT,8/3/2023 9:50:07 PM,CIR_FieldTech1,8/3/2023 9:50:07 PM,CIR_FieldTech1,,,,-119.758498817794,34.4622954307446
87,ff126cf4-bf03-4179-bfad-c24bc4e0a127,5B,,48,2,50,8,92,0.25,,,yes,no,5,"Chenopodium_murale: %, Bromus_diandrus: %, Camissoniopsis_bistorta: %, Lysimachia_arvensis: %, Hirschfeldia_incana: %, Avena_barbata_or_fatua: %, : %, ",94%,34.463442014940334,-119.75684539638968,"34.463442014940334, -119.75684539638968",,8/3/2023 10:18:00 PM,,,8/3/2023 10:31:19 PM,CIR_FieldTech1,8/3/2023 10:31:19 PM,CIR_FieldTech1,,,,-119.75684539639,34.4634420149403
88,e971cf87-8dec-4fb7-8e25-a59c30f202be,5A,,25,50,25,12,88,0.25,,,no,no,24,"Quercus_agrifolia: 10%, Bromus_diandrus: 45%, Chenopodium_murale: 40%, Croton_setigerus: 2%, Bromus_madritensis: 1%, Solanum_douglasii: 2%, other: %, Bromus_madritensis: %, Sonchus_oleraceus: %, Solanum_xanti: %, ",100%,34.46322120191942,-119.75697998145041,"34.46322120191942, -119.75697998145041",,8/3/2023 10:27:00 PM,"all thatch was oak leaf litter, 60% canopy cover ",,8/4/2023 12:23:14 AM,CIR_FieldTech1,8/4/2023 12:23:14 AM,CIR_FieldTech1,,,,-119.75697998145,34.4632212019194
89,f7fe6fde-ffe7-497b-aead-840092f3ced6,2A,,92,5,3,92,8,0.5,,,yes,no,6,"Deinandra_fasciculata: %, Stipa_pulchra: %, Croton_setigerus: %, Ambrosia_psilostachya: %, other: %, Artemisia_californica: %, Festuca_perennis: %, Avena_barbata_or_fatua: 3%, Bromus_madritensis: %, Festuca_myuros: %, Bromus_hordeaceus: %, : %, ",100%,34.46160702503702,-119.75961268890626,"34.46160702503702, -119.75961268890626",,8/3/2023 6:37:00 PM,,,8/4/2023 3:12:49 PM,CIR_FieldTech1,8/4/2023 3:12:49 PM,CIR_FieldTech1,,,,-119.759612688906,34.461607025037
90,fbdb175a-07e3-4316-8c0d-9b2621413908,3A,,85,10,5,33,67,0.5,,,no,no,46,"Deinandra_fasciculata: %, Croton_setigerus: %, Bromus_diandrus: %, : %, Avena_barbata_or_fatua: %, Festuca_myuros: %, Lysimachia_arvensis: %, Silene_gallica: %, Erigeron_canadensis: %, : %, ",100%,34.46205583404234,-119.75845254968829,"34.46205583404234, -119.75845254968829",,8/3/2023 8:19:00 PM,,Wm,8/4/2023 3:12:50 PM,CIR_FieldTech1,8/4/2023 3:12:50 PM,CIR_FieldTech1,,,,-119.758452549688,34.4620558340423
91,321624b5-2467-478d-ba1a-c705088016ed,3D,,80,0,20,65,35,0,,,no,no,47,"Croton_setigerus: 60%, Erodium_botrys: %, Deinandra_fasciculata: %, Festuca_myuros: %, Bromus_diandrus: %, other: %, Silene_gallica: %, Brachypodium_distachyon: %, Avena_barbata_or_fatua: %, : %, Stipa_pulchra: %, : %, ",100%,34.46150308943769,-119.7580114939434,"34.46150308943769, -119.7580114939434",,8/3/2023 8:41:00 PM,,Wm,8/4/2023 3:12:50 PM,CIR_FieldTech1,8/4/2023 3:12:50 PM,CIR_FieldTech1,,,,-119.758011493943,34.4615030894377
92,80e1a481-4f13-4aac-a257-d00046e1454f,3C,,85,10,5,48,52,0.75,,,no,yes,123,"Bromus_diandrus: 5%, Croton_setigerus: 13%, Deinandra_fasciculata: 25%, Erigeron_canadensis: 10%, Erodium_cicutarium: 10%, Festuca_myuros: 1%, Lysimachia_arvensis: 20%, Silene_gallica: 1%, Sonchus_asper: %, Stipa_pulchra: %, other: 15%, other: %, : %, ",100%,34.46225135,-119.75791266,"34.46225135, -119.75791266",,8/3/2023 9:33:00 PM,,"BGM, AM",8/4/2023 3:33:37 PM,CIR_FieldTech4,8/4/2023 3:33:37 PM,CIR_FieldTech4,,,,-119.75791266,34.46225135
93,1f5b5558-6d46-4d26-a022-bdee1d20c668,6C,,40,59,1,30,70,2,,,yes,yes,54,"Amsinckia_intermedia: %, Croton_setigerus: %, Hirschfeldia_incana: %, Chenopodium_: %, other: %, : %, : %, ",100%,34.46260571,-119.75619993,"34.46260571, -119.75619993",,8/4/2023 3:43:00 PM,1 very big burrow,"EM, JN, AM",8/4/2023 4:13:55 PM,CIRArcGIS,8/4/2023 4:13:55 PM,CIRArcGIS,,,,-119.75619993,34.46260571
94,9802e936-aea7-4fc4-a76d-72d8edd89a55,6D,,80,20,,75,,2,,,yes,yes,8,"Hirschfeldia_incana: %, Festuca_perennis: %, Bromus_madritensis: %, Avena_barbata_or_fatua: %, Lacticu_serriola: %, Medicago_polymorpha: %, Bromus_hordeaceus: %, Deinandra_fasciculata: %, Silene_gallica: %, Brachypodium_distachyon: %, Erodium_botrys: %, Stipa_pulchra: %, other: %, : %, ",100%,34.4620934,-119.7562675,"34.4620934, -119.7562675",,8/4/2023 4:18:00 PM,cool orb weaver spider,"WM, AM, JN, EM",8/4/2023 4:56:03 PM,CIRArcGIS,8/4/2023 4:56:03 PM,CIRArcGIS,,,,-119.7562675,34.4620934
95,aab7e401-7f65-4e56-a378-488a5fcd6e20,8B,,85,10,5,56,44,1,,,no,no,29,"Stipa_pulchra: %, Brachypodium_distachyon: %, Festuca_bromoides: %, Erodium_botrys: %, Artemisia_californica: %, Deinandra_fasciculata: %, Avena_barbata_or_fatua: %, other: %, Lysimachia_arvensis: %, Lacticu_serriola: %, Sonchus_oleraceus: %, Hirschfeldia_incana: %, Silene_gallica: %, Bloomeria_crocea: %, : %, ",100%,34.46209497753015,-119.75548351194686,"34.46209497753015, -119.75548351194686",,8/4/2023 5:38:00 PM,,Wm,8/4/2023 5:55:42 PM,CIR_FieldTech1,8/4/2023 5:55:42 PM,CIR_FieldTech1,,,,-119.755483511947,34.4620949775301
96,1dcfacac-42b4-40f9-9d35-7118e7b6c0f5,6B,,100,0,,60,,0,,,yes,no,5,"Silene_gallica: %, Artemisia_californica: %, Avena_barbata_or_fatua: %, Brachypodium_distachyon: %, Bromus_hordeaceus: 3%, Bromus_diandrus: %, Bromus_madritensis: %, Erodium_botrys: %, Hazardia_squarrosa: %, Hirschfeldia_incana: %, Sonchus_asper: %, Vicia_sativa: %, Festuca_myuros: %, Trifolium_hirtum: %, Deinandra_fasciculata: %, Stipa_pulchra: %, : %, ",100%,,,", ",,8/4/2023 5:31:00 PM,,"AM, EM",8/4/2023 6:19:13 PM,CIRArcGIS,8/4/2023 6:19:13 PM,CIRArcGIS,,,,0,0
97,5fbe6470-e753-470f-ad14-e96038e1a4a4,8C,,85,3,2,27,73,0.5,,,no,no,27,"Brachypodium_distachyon: 40%, Stipa_pulchra: 15%, Deinandra_fasciculata: 10%, Erodium_botrys: 10%, Festuca_bromoides: 10%, Medicago_polymorpha: %, Avena_barbata_or_fatua: 1%, Bromus_hordeaceus: 2%, other: 2%, Artemisia_californica: 1%, Isocoma_menziesii: 1%, Hypochaeris_glabra: 1%, Lysimachia_arvensis: %, : %, : %, ",100%,34.46175928230813,-119.75531302403635,"34.46175928230813, -119.75531302403635",,8/4/2023 6:06:00 PM,,,8/4/2023 6:27:52 PM,CIR_FieldTech1,8/4/2023 6:27:52 PM,CIR_FieldTech1,,,,-119.755313024036,34.4617592823081
98,f52d45a1-b8df-4d10-9480-5554ba82a7b5,6A,,90,9,1,53,,1,,,yes,yes,42,"Hypochaeris_glabra: %, Lacticu_serriola: %, Hirschfeldia_incana: %, Sonchus_asper: %, Festuca_perennis: %, Festuca_myuros: %, Baccharis_pilularis: %, Isocoma_menziesii: %, Vicia_sativa: %, other: %, Silene_gallica: %, Lysimachia_arvensis: %, Erodium_botrys: %, Bromus_hordeaceus: %, Brachypodium_distachyon: %, Croton_setigerus: %, Convolvulus_arvensis: %, Stipa_pulchra: %, Deinandra_fasciculata: %, : %, ",100%,,,", ",,8/4/2023 6:19:00 PM,3 big mantises,"EM, AM",8/4/2023 7:12:43 PM,CIRArcGIS,8/4/2023 7:12:43 PM,CIRArcGIS,,,,0,0
